Education at a Glance 2017: OECD Indicators - Â© OECD 2017,,,,,,,,,
Indicator B4,What is the total public spending on education?,,,,,,,,
Version 2 - Last updated: 26-Oct-2017,,,,,,,,,
Disclaimer: http://oe.cd/disclaimer,,,,,,,,,
,,,,,,,,,
Figure B4.1.,,,,,,,,,
Change in total public expenditure on education as a share of total government expenditure between 2010 and 2014,,,,,,,,,
"Primary to tertiary education (2010 = 100, constant prices)",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1. Includes pre-primary education.,,,,,,,,,
Countries are ranked in descending order of the change in total public expenditure on primary to tertiary education as a percentage of total government expenditure.,,,,,,,,,
"Source: OECD / UIS / Eurostat (2017), Table B4.2. See Source section for more information and Annex 3 for notes (www.oecd.org/education/education-at-a-glance-19991487.htm).
",,,,,,,,,
http://stats.oecd.org/index.aspx?queryid=79384,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data for Figure B4.1. Change in total public expenditure on education as a share of total government expenditure between 2010 and 2014,,,,,,,,,
,Change in public expenditure on education,Change in total government expenditure for all services,Change in total public expenditure on education as a percentage of total government expenditure ,,,,,,
Turkey,170,117,145,,,,,,
Ireland,88,62,141,,,,,,
Latvia,122,97,125,,,,,,
Iceland,109,101,108,,,,,,
Netherlands,102,98,104,,,,,,
Denmark,105,102,103,,,,,,
Korea,120,116,103,,,,,,
Israel,118,114,103,,,,,,
Poland,105,103,102,,,,,,
Lithuania,99,97,102,,,,,,
United States,97,96,102,,,,,,
Slovak Republic,109,108,101,,,,,,
OECD average,105,103,101,,,,,,
EU22 average,99,99,100,,,,,,
Germany,100,100,100,,,,,,
Chile,121,121,100,,,,,,
Switzerland,109,110,99,,,,,,
Belgium,106,107,99,,,,,,
Canada1,100,101,98,,,,,,
Mexico,115,118,98,,,,,,
Sweden,104,107,98,,,,,,
Brazil,113,116,97,,,,,,
Czech Republic,98,102,96,,,,,,
Japan,102,106,96,,,,,,
France,100,105,95,,,,,,
Norway,103,109,94,,,,,,
Hungary,99,105,94,,,,,,
Portugal,88,94,94,,,,,,
Estonia,103,111,93,,,,,,
Finland,98,106,92,,,,,,
Italy,89,98,91,,,,,,
Spain,85,94,90,,,,,,
Australia,106,118,90,,,,,,
Slovenia,87,101,86,,,,,,