Public spending on early childhood education and care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total public expenditure on early childhood education and care, in per cent of GDP, 1980-2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Note,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,0.03,0.03,0.03,0.04,0.05,0.06,0.06,0.06,0.06,0.05,0.06,0.10,0.12,0.14,0.18,0.19,0.19,0.17,0.35,0.38,0.38,0.42,0.42,0.40,0.40,0.38,0.35,0.39,0.47,0.50,0.52,0.54,0.58,0.61,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,0.34,..,..,..,..,0.38,..,..,..,..,0.22,0.23,0.25,0.27,0.28,0.28,0.29,0.31,0.23,0.23,0.27,0.27,0.27,0.29,0.28,0.28,0.29,0.29,0.31,0.38,0.46,0.45,0.48,0.49,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.05,0.48,0.49,0.49,0.58,0.60,0.62,0.61,0.61,0.61,0.61,0.63,0.65,0.67,0.67,0.73,0.78,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,..,..,..,..,..,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.25,0.25,0.25,0.28,0.27,0.26,0.31,0.37,0.46,0.43,0.40,0.41,0.45,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.32,0.31,0.29,0.32,0.31,0.30,0.32,0.32,0.30,0.32,0.39,0.39,0.40,0.44,0.45,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,1.11,1.19,1.21,1.14,1.10,1.04,1.03,1.08,1.14,1.13,1.27,1.32,1.37,1.48,1.49,1.46,1.51,1.54,1.37,1.42,1.37,1.38,1.38,1.39,1.33,1.32,1.33,1.24,1.23,1.31,1.25,1.40,1.39,1.36,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.11,0.12,0.14,0.17,0.20,0.23,0.26,0.25,0.26,0.37,0.34,0.34,0.32,0.34,0.38,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,0.57,0.63,0.68,0.73,0.74,0.85,0.89,0.92,0.93,0.99,1.09,1.22,1.17,1.09,1.02,1.02,1.09,1.06,1.02,1.01,0.93,0.89,0.89,0.89,0.88,0.90,0.88,0.87,0.92,1.03,1.03,1.05,1.10,1.11,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,0.16,0.18,0.20,0.22,0.23,0.22,0.21,0.21,0.21,0.22,0.64,0.64,0.63,0.74,0.73,0.73,0.68,0.70,1.29,1.28,1.19,1.16,1.16,1.18,1.22,1.20,1.04,1.06,1.08,1.18,1.19,1.19,1.24,1.27,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,0.25,0.26,0.24,0.23,0.23,0.23,0.23,0.24,0.25,0.24,0.26,0.34,0.36,0.41,0.40,0.38,0.39,0.40,0.39,0.39,0.33,0.33,0.36,0.37,0.37,0.37,0.37,0.37,0.37,0.43,0.46,0.47,0.52,0.58,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.63,0.59,0.58,0.61,0.69,0.67,0.68,0.67,0.62,0.63,0.64,0.65,0.63,0.63,0.59,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,,..,..,..,..,..,..,..,..,..,..,0.49,0.56,0.61,0.58,0.60,0.65,0.69,0.69,0.74,0.77,0.81,0.92,1.01,1.08,1.08,1.14,1.32,1.46,1.52,1.61,1.59,1.57,1.80,1.84,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.22,0.22,0.23,0.24,0.26,0.28,0.28,0.28,0.30,0.36,0.45,0.48,0.46,0.49,0.52,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.57,0.60,0.61,0.59,0.59,0.56,0.61,0.65,0.61,0.63,0.61,0.62,0.59,0.61,0.66,0.72,0.62,0.64,0.78,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.10,0.10,0.09,0.15,0.15,0.14,0.16,0.16,0.05,0.07,0.06,0.46,0.47,0.48,0.51,0.43,0.49,0.50,0.50,0.55,0.52,0.55,0.55,0.53,0.51,0.54,0.54,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.18,0.18,0.19,0.20,0.28,0.28,0.23,0.24,0.27,0.26,0.27,0.33,0.30,0.32,0.33,0.33,0.33,0.32,0.33,0.33,0.32,0.36,0.36,0.39,0.41,0.37,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korea,,..,..,..,..,..,..,..,..,..,..,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.06,0.08,0.07,0.08,0.11,0.10,0.13,0.11,0.11,0.24,0.30,0.50,0.59,0.60,0.58,0.73,0.88,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.07,0.07,0.08,0.08,0.09,0.09,0.09,0.10,0.09,0.09,0.09,0.10,0.13,0.13,0.13,0.12,0.14,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,,0.16,0.19,0.17,0.16,0.17,0.19,0.19,0.21,0.25,0.22,0.03,0.04,0.07,0.08,0.08,0.16,0.20,0.21,0.43,0.47,0.41,0.35,0.39,0.38,0.38,0.40,0.40,0.36,0.57,0.42,0.54,0.52,0.66,0.77,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,..,..,..,..,..,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.29,0.40,0.43,0.47,0.54,0.66,0.54,0.59,0.61,0.60,0.68,0.62,0.62,0.61,..,0.62,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.33,0.32,0.33,0.35,0.38,0.40,0.40,0.44,0.52,0.67,0.78,0.86,0.84,0.82,0.74,0.69,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.05,0.05,0.25,0.25,0.26,0.28,0.60,0.59,0.58,0.55,0.56,0.57,0.59,0.64,0.66,0.73,0.86,0.99,1.02,1.03,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,0.33,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.57,0.63,0.64,0.71,0.79,0.83,0.84,0.85,0.84,0.80,0.80,0.78,0.69,0.73,0.62,0.69,0.75,0.76,0.84,0.93,0.98,1.19,1.21,1.22,1.21,1.25,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.21,0.23,0.21,0.21,0.24,0.28,0.29,0.29,0.28,0.43,0.47,0.48,0.51,0.45,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.22,0.27,0.28,0.30,0.31,0.38,0.37,0.37,0.36,0.35,0.35,0.38,0.39,0.37,0.38,0.37,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.09,0.11,0.07,0.07,0.48,0.42,0.44,0.46,0.47,0.40,0.39,0.38,0.38,0.38,0.43,0.41,0.42,0.44,0.47,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.62,0.62,0.62,0.60,0.60,0.59,0.57,0.56,0.53,0.53,0.50,0.47,0.46,0.48,0.49,0.49,0.52,0.53,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.35,0.34,0.43,0.39,0.39,0.39,0.41,0.43,0.44,0.45,0.49,0.54,0.55,0.55,0.56,0.52,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,,1.50,1.58,1.47,1.65,1.69,1.65,1.75,1.70,1.69,1.75,1.91,1.91,1.83,1.57,1.52,1.33,1.42,1.33,1.24,1.23,1.00,1.02,1.13,1.17,1.18,1.23,1.31,1.32,1.42,1.52,1.49,1.51,1.58,1.64,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.09,0.09,0.09,0.09,0.09,0.12,0.09,0.15,0.17,0.19,0.18,0.17,0.19,0.22,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.53,0.65,0.68,0.74,0.77,0.73,0.80,0.79,0.83,0.76,0.75,0.80,0.78,0.79,0.78,0.76,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,,..,..,..,..,..,..,..,..,..,..,..,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.36,0.37,0.39,0.40,0.42,0.37,0.35,0.33,0.35,0.36,0.36,0.37,0.38,0.37,0.35,0.35,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: In some countries local governments play a key role in financing and providing childcare services. Such spending is comprehensively recorded in Nordic countries, but in some other (often federal) countries it may not be fully captured by the OECD social expenditure data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1) The data for Israel are supplied by and under the responsibility of the relevant Israeli authorities. The use of such data by the OECD is without prejudice to the status of the Golan Heights, East Jerusalem and Israeli settlements in the West Bank under the terms of international law.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD Social Expenditure Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,